chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,label,class
0.370960524,0.230574547,0.201052664,0.235000424,0.313067906,0.424545897,0.602799235,0.839051304,0.802879315,0.783305697,0.675692212,0.554218028,1,drone
0.569365694,0.625396466,0.681316214,0.60723078,0.53851565,0.502942508,0.597385238,0.664836256,0.727741838,0.672364819,0.567270497,0.543114154,1,drone
0.572042893,0.457418228,0.459673789,0.481116426,0.451950416,0.355077619,0.473632964,0.633658066,0.588469763,0.576711516,0.616894511,0.593861624,1,drone
0.3416858,0.409529001,0.52495617,0.580805026,0.609510978,0.688129842,0.688364585,0.789045432,0.787871317,0.684210655,0.453408185,0.334297057,1,drone
0.188281661,0.243996103,0.345624752,0.459416508,0.721924027,0.877763319,0.806569248,0.74514147,0.600504722,0.46290469,0.237556843,0.172142997,1,drone
0.318813478,0.307110637,0.363338773,0.434698472,0.599176321,0.894694106,0.620532524,0.494300402,0.421112638,0.366057296,0.325415134,0.323277189,1,drone
0.369836759,0.365645906,0.461903393,0.543743717,0.705363774,0.813949003,0.840997102,0.882153878,0.817033296,0.704951993,0.443390885,0.368087488,1,drone
0.509756293,0.266428291,0.205805217,0.203758285,0.197436402,0.231960301,0.634618045,0.788023403,0.342562637,0.226805719,0.249850891,0.449454964,1,drone
0.007463038,0.023690935,0.157388775,0.196733744,0.057465333,0.055469696,0.181727693,0.609202721,0.546834268,0.41583284,0.412791244,0.048812148,1,drone
0.155111347,0.463994935,0.776082971,0.538515877,0.262832311,0.098944572,0.063256226,0.070572539,0.159244221,0.494101211,0.328699489,0.094729097,1,drone
0.388623027,0.567695219,0.395736989,0.661456917,0.230498553,0.29500266,0.196065118,0.336252299,0.539494183,0.327389855,0.30597397,0.316857369,1,drone
0.459984074,0.355561758,0.168253118,0.127458509,0.216127622,0.224910861,0.155176366,0.334258362,0.689735869,0.653393293,0.40982957,0.367014869,1,drone
0.638872526,0.461288925,0.296685658,0.324430613,0.486309003,0.488238601,0.590701108,0.566127835,0.550834442,0.382107433,0.386601792,0.448265589,1,drone
0.268766941,0.192906452,0.133958643,0.154705811,0.179345124,0.165893945,0.484156019,0.858393751,0.440974685,0.444621627,0.40046042,0.367479063,1,drone
0.443164385,0.426610921,0.429039469,0.408293217,0.449921534,0.522949377,0.638163341,0.7424584,0.695629956,0.648473832,0.586630657,0.499866599,1,drone
0.329533689,0.405021521,0.562392785,0.647949636,0.791949823,0.865708641,0.772970817,0.720346082,0.630106603,0.539917192,0.369666675,0.322205339,1,drone
0.375784279,0.464748042,0.587483682,0.607193139,0.671977196,0.742048573,0.920868381,0.982197235,0.746161003,0.568839606,0.469742982,0.392766623,1,drone
0.342246239,0.347812736,0.419036776,0.495270283,0.662456159,0.778170197,0.816755436,0.886972397,0.753179821,0.634560838,0.453151433,0.370099015,1,drone
0.339123654,0.303812454,0.275349679,0.218525632,0.174443331,0.158650529,0.231424898,0.627674671,0.587504587,0.556323951,0.367310386,0.331451387,1,drone
0.439980925,0.446765949,0.579421717,0.635780518,0.712441362,0.763164046,0.750438136,0.736653667,0.550294066,0.463700895,0.512166153,0.482502679,1,drone
0.496439754,0.337441438,0.285851073,0.303039537,0.311109233,0.356633842,0.415872874,0.609866045,0.827255977,0.64868537,0.377428866,0.453279043,1,drone
0.55426345,0.451609252,0.221047183,0.136123723,0.117956049,0.13193992,0.249487307,0.543588153,0.749219104,0.367998039,0.167988813,0.310202842,1,drone
0.323242854,0.334357512,0.34280487,0.366323838,0.418462511,0.52279252,0.655395418,0.952945353,0.645423425,0.497710369,0.394412979,0.344219775,1,drone
0.616178786,0.575611474,0.532981317,0.451984016,0.442539607,0.519970309,0.430831567,0.544221342,0.657310638,0.717499532,0.552242717,0.562200091,1,drone
0.346048246,0.317609157,0.301906561,0.329293239,0.483648975,0.62425012,0.782852791,0.887684999,0.714106162,0.564360275,0.410800102,0.352164728,1,drone
0.41007332,0.496497369,0.644272709,0.673282732,0.727289819,0.796542453,0.752121173,0.729275663,0.710580444,0.666106241,0.513928521,0.430098238,1,drone
0.85183297,0.522238679,0.402600755,0.346044605,0.328878014,0.324238067,0.438611857,0.531640392,0.625594853,0.637534873,0.684743804,0.856962554,1,drone
0.646403368,0.603106148,0.596469512,0.583704218,0.602012044,0.66695578,0.758099749,0.727556095,0.593357918,0.580541393,0.608167695,0.626515019,1,drone
0.216556801,0.214598903,0.278676487,0.413229533,0.613307305,0.820590703,0.841837646,0.797547583,0.57152197,0.44788589,0.307199979,0.235308856,1,drone
0.43294249,0.313575463,0.356080193,0.397842544,0.488789954,0.547925151,0.646288213,0.717997386,0.751455817,0.728823558,0.677558511,0.547213234,1,drone
0.365376459,0.290430854,0.268830993,0.275786597,0.317270829,0.361813307,0.505069371,0.558373384,0.609846243,0.649330356,0.740488761,0.528094593,1,drone
0.515810154,0.497895635,0.521256378,0.514288677,0.528303278,0.576406103,0.536036426,0.552745049,0.605838305,0.688177126,0.650505966,0.591485751,1,drone
0.604018996,0.493299398,0.449624372,0.437600149,0.485473971,0.6583987,0.756259112,0.777670094,0.760135379,0.878030899,0.766814357,0.688450048,1,drone
0.367943292,0.287685225,0.320811718,0.396544978,0.575516002,0.70496469,0.717548415,0.755713458,0.676880898,0.642490474,0.598298284,0.490738191,1,drone
0.661141702,0.681660871,0.649370542,0.575482205,0.606120331,0.644404234,0.605225284,0.620659698,0.609444044,0.605307056,0.532870863,0.55714149,1,drone
0.231213515,0.256644742,0.226387445,0.273412023,0.303564534,0.334758361,0.356498245,0.634170476,0.95347317,0.575686141,0.259672203,0.224018596,1,drone
0.168323114,0.162999495,0.169376227,0.243043267,0.213548187,0.304433654,0.486496063,0.685675376,0.602089692,0.286735979,0.132080568,0.145473265,1,drone
0.118265696,0.111362417,0.131730222,0.126216787,0.440712831,0.339094389,0.138268907,0.191996771,0.2332238,0.953834652,0.69401737,0.16306088,1,drone
0.454514579,0.425215684,0.449549918,0.34625238,0.590077019,0.266585119,0.154432167,0.146630358,0.336146221,0.983904979,0.691188494,0.37347224,1,drone
0.217281359,0.281107226,0.435092272,0.347623487,0.486708085,0.373038303,0.590115459,0.190880649,0.176488001,0.588695574,0.190001649,0.118907037,1,drone
0.052277993,0.06006354,0.189016689,0.096309746,0.077805299,0.311276734,0.574579731,0.182577658,0.471982296,0.808888056,0.113464231,0.07146253,1,drone
0.036494508,0.058263452,0.121606905,0.258136003,0.337688344,0.64725375,0.467417788,0.282694638,0.573241217,0.238098916,0.036192242,0.033807733,1,drone
0.41624722,0.444741233,0.260825348,0.144247305,0.127677461,0.124772742,0.253355268,0.756367253,0.38276845,0.094933257,0.123869522,0.239557475,1,drone
0.208960542,0.166588398,0.107678421,0.090693268,0.121193095,0.168489333,0.381450819,1,0.492603471,0.101106722,0.110930433,0.162181634,1,drone
0.163404155,0.109320443,0.079070568,0.063967362,0.066619282,0.122445727,0.431896164,1,0.630604766,0.233781769,0.139840061,0.164111206,1,drone
0.184100099,0.152079592,0.179411966,0.194462823,0.182774515,0.149690903,0.225702861,0.684250845,0.920681276,0.431892607,0.157014171,0.172116679,1,drone
0.024139893,0.023045626,0.026987474,0.057934485,0.141317721,0.284258051,0.69747633,1,0.87220115,0.643825225,0.203306233,0.04645268,1,drone
0.029399434,0.023005089,0.027435254,0.050344131,0.119281959,0.262744476,0.688307107,1,0.887891097,0.669785271,0.233830986,0.065663624,1,drone
0.043726005,0.026127751,0.027237677,0.04837494,0.113618694,0.254492721,0.678403348,0.991399398,0.894127096,0.690526947,0.273251214,0.096162934,1,drone
0.032485348,0.027466316,0.037339586,0.062986796,0.134778352,0.275421344,0.67979409,0.982612041,0.904039658,0.706414472,0.269172537,0.084883906,1,drone
0.06087556,0.060897981,0.089639879,0.128081203,0.216045019,0.357639782,0.730400804,1,0.860678896,0.64769517,0.266641414,0.106862685,1,drone
0.245991325,0.173448977,0.765174656,0.900573852,0.221204925,0.144739549,0.179140211,0.258615367,0.203387483,0.433178212,0.206785713,0.204234183,1,drone
0.391664085,0.512450792,0.575814168,0.649022474,0.617109593,0.378012539,0.349543584,0.544846935,0.43512887,0.697862215,0.402960447,0.386583939,1,drone
0.342659327,0.355840855,0.402565366,0.923808515,0.381524888,0.224551361,0.231618664,0.209002091,0.234258262,0.447968423,0.436751536,0.546182288,1,drone
0.305527211,0.557352516,0.411509578,0.978377666,0.451585651,0.311922205,0.322049795,0.272757822,0.269568046,0.282079819,0.180978793,0.218961056,1,drone
0.227579103,0.427301647,0.325553366,1,0.342354716,0.256926734,0.175201666,0.122104102,0.157355513,0.162712949,0.155444831,0.229732087,1,drone
0.610876667,0.732193272,0.584818543,0.824809628,0.652477885,0.289956387,0.357348541,0.338216121,0.390755997,0.533853943,0.489100309,0.530038425,1,drone
0.478264078,0.91613657,0.667813583,0.450680505,0.618837256,0.457060801,0.334166208,0.268984541,0.382371388,0.481403245,0.379220499,0.375060929,1,drone
0.621168164,0.768964863,0.579159827,0.664573106,0.652141715,0.410703193,0.397898182,0.430415907,0.312885573,0.394938614,0.442103861,0.489885784,1,drone
0.695274538,0.657038865,0.723629442,0.71062158,0.631879178,0.521936596,0.456083121,0.510624765,0.442795847,0.325219945,0.508294159,0.639223025,1,drone
0.345050796,0.478536803,0.381714202,0.607860135,0.481318253,0.38157618,0.338021718,0.334068832,0.402219734,0.343833035,0.45917072,0.640768378,1,drone
0.574186514,0.766106415,0.773514327,0.80741106,0.753599807,0.533866329,0.468590257,0.43998223,0.416412984,0.322309864,0.30719806,0.525581276,1,drone
0.632915208,0.813440949,0.507114364,0.717685356,0.381009039,0.239560561,0.208633363,0.278113174,0.317276333,0.263775231,0.329194432,0.502380852,1,drone
0.62981818,0.637836724,0.602828168,0.379948537,0.468813727,0.485927279,0.53357221,0.478239798,0.72254953,0.756901292,0.459555281,0.435169192,1,drone
0.702119452,0.749915562,0.611236807,0.474333873,0.421294322,0.41670391,0.365478452,0.482092204,0.526627576,0.602654021,0.449021886,0.548352894,1,drone
0.247098964,0.188729584,0.240514529,0.31536956,0.438709391,0.620739989,0.740581697,0.906101411,0.820878588,0.727849191,0.550587849,0.413648968,1,drone
0.397616383,0.48831616,0.578062118,0.574604605,0.606819081,0.680479662,0.781690503,0.862772222,0.796871135,0.735044943,0.645196354,0.495547522,1,drone
0.403724515,0.491752927,0.577257926,0.55706138,0.588624636,0.61645812,0.737223849,0.813144104,0.870919898,0.742592911,0.55290804,0.432430664,1,drone
0.390043523,0.459975579,0.523203614,0.551516554,0.576401423,0.544671716,0.625923761,0.767320854,0.743853758,0.685281115,0.509048842,0.401695212,1,drone
0.33055844,0.325184073,0.407137905,0.990126543,0.596138481,0.432006696,0.177405565,0.229243006,0.377553488,0.364303517,0.421849467,0.416578141,1,drone
0.663737321,0.76285272,0.637650054,0.559211527,0.675141931,0.468004119,0.456093132,0.495117464,0.214890106,0.275335567,0.407470914,0.577627379,1,drone
0.432673971,0.619471513,0.627542105,0.711493981,0.353053644,0.374743531,0.459120026,0.317276668,0.303105497,0.350686906,0.513464015,0.750719204,1,drone
0.448782287,0.747741876,0.54794494,0.568477684,0.389548902,0.303934251,0.18907178,0.293541372,0.412036015,0.336725295,0.559396059,0.490814853,1,drone
0.371078787,0.757910476,0.763002549,0.444678283,0.37369663,0.278626785,0.325086993,0.460737159,0.480585086,0.519397731,0.52345988,0.423189625,1,drone
0.570198099,0.916073143,0.477605396,0.356477784,0.325774413,0.400101787,0.367768859,0.281894998,0.464615704,0.507986927,0.61642421,0.472688662,1,drone
0.639561042,0.700343299,0.55501681,0.495462412,0.395221154,0.283923507,0.281205471,0.416423303,0.383118603,0.481662084,0.610084044,0.502147865,1,drone
0.488074302,0.827464216,0.643794017,0.580987332,0.418711581,0.342822596,0.435844494,0.483818799,0.405377568,0.37392005,0.460248188,0.460820949,1,drone
0.565286647,0.6343853,0.731775119,0.716799562,0.397204058,0.291025961,0.26940577,0.405941386,0.578510833,0.412296677,0.36940483,0.493593889,1,drone
0.416764127,0.644869068,0.652438241,0.881086284,0.670708787,0.454465989,0.387629326,0.363226056,0.383658851,0.359203006,0.34475533,0.355669537,1,drone
0.568270008,0.582058272,0.762398835,0.549582024,0.369746892,0.558580348,0.613568303,0.55982538,0.444173879,0.553774777,0.697815141,0.607310867,1,drone
0.687670864,0.885808301,0.561432692,0.384060708,0.443453209,0.310048648,0.411604817,0.424987121,0.301683487,0.49673735,0.413527698,0.452298276,1,drone
0.359626783,0.710472344,0.674963987,0.513107578,0.459881945,0.358798952,0.326263615,0.425092068,0.528433196,0.561912848,0.590587241,0.480991615,1,drone
0.452170025,0.86108594,0.651837672,0.782152375,0.477086785,0.315532453,0.344703967,0.347493223,0.340610147,0.394436065,0.330652733,0.261360072,1,drone
0.457650845,0.724586194,0.527736375,0.584101724,0.632619536,0.406498722,0.33355924,0.41979158,0.373565537,0.691313385,0.736231342,0.558161226,1,drone
0.48533203,0.93803498,0.623059258,0.429387366,0.505164409,0.324684309,0.370359631,0.269733978,0.213523976,0.370675783,0.435189496,0.438937485,1,drone
0.419891552,0.856137037,0.719379844,0.763349395,0.644734799,0.412638702,0.394475026,0.315316428,0.370504485,0.342510192,0.251140406,0.329956053,1,drone
0.480070363,0.823974535,0.573100762,0.714158972,0.269128497,0.213577048,0.296086565,0.425720268,0.40422403,0.278644973,0.238164268,0.257129648,1,drone
